CERCID,SEX,AGE,CHILDREN,FORMALED,MMAT,INGFIRST,EXUSED1,COREL.L,EXUSED2,COREL.S,INGFIRST_DG,COREL.L_DG,COREL.S_DG,LGPUNISH,LGDIE,LGFEEL,LGSEE,BGPUNISH,BGDIE,BGFEEL,BGSEE,LGPERF,LGBLV,LGTHINK_BINARY,BGPERF,BGBLV,BGTHINK_BINARY
AUD058,1,27,1,20,0.25,0,1,17,1,12,0,4,6,1,0,0,NA,NA,NA,NA,NA,1,1,1,0,0,0
AUD059,0,66,4,10,0,0,1,15,1,18,1,7,5,1,1,1,1,1,1,1,1,1,1,1,0,1,1
AUD060,0,30,3,16,NA,1,1,16,1,13,0,4,3,1,1,1,1,1,1,1,1,1,1,1,0,1,1
AUD061,1,37,4,14,NA,0,1,14,1,16,0,4,5,1,1,1,1,NA,NA,NA,NA,1,1,1,0,0,0
AUD062,0,30,1,17,0,0,1,20,1,14,0,6,5,1,1,0,1,NA,NA,NA,NA,1,1,1,0,1,1
AUD063,1,68,3,7,0,0,1,13,1,16,1,3,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1
AUD065,1,44,4,14,0,0,1,12,1,15,1,5,4,1,1,1,1,1,1,0,1,0,1,1,1,1,0
AUD066,1,20,0,12,0,0,1,17,1,15,0,4,5,1,NA,1,0,NA,NA,NA,NA,1,1,1,0,0,0
AUD067,0,46,4,6,0.25,0,1,16,1,18,1,4,4,1,0,0,0,1,0,0,0,0,0,1,0,1,1
AUD068,1,43,3,10,0,0,1,8,1,17,1,6,5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AUD069,0,42,3,16,0,0,1,12,1,18,1,4,5,1,NA,1,1,1,1,1,1,1,1,1,1,1,1
AUD070,1,60,4,10,0,0,1,11,1,14,0,4,4,1,0,1,0,1,NA,0,0,1,1,1,0,1,1
AUD071,0,50,3,18,0,0,1,16,1,16,0,6,5,1,1,1,1,1,NA,1,1,1,1,1,1,1,1
AUD072,1,57,4,NA,0.25,0,1,9,1,15,0,6,3,1,NA,1,1,NA,NA,NA,NA,1,1,1,0,0,0
AUD073,0,52,4,12,0,0,1,10,1,15,1,4,5,1,1,1,1,NA,NA,NA,NA,1,1,1,0,0,0
AUD074,0,45,3,6,0.25,0,1,10,1,13,0,5,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1
AUD075,0,37,3,15,0,0,1,15,1,16,0,5,7,1,NA,1,1,1,1,1,1,1,1,1,0,1,1
AUD076,1,45,4,8,0,0,1,19,1,16,1,2,3,1,NA,1,1,1,0,1,1,1,1,1,1,1,1
AUD077,1,38,5,2,0,0,1,19,1,10,1,5,4,1,1,1,1,1,NA,1,1,1,1,1,0,1,1
AUD078,0,23,0,15,0,0,1,16,1,14,1,5,4,1,1,1,1,0,1,1,1,0,1,1,0,1,1
AUD079,1,31,2,11,0,0,1,12,1,16,1,3,7,1,0,1,0,1,1,1,0,1,1,1,1,1,0
AUD080,0,53,4,10,0.5,0,1,11,1,17,1,6,3,1,NA,1,1,NA,NA,NA,NA,1,1,1,0,0,0
AUD081,0,26,1,12,0,0,1,14,1,11,0,3,4,1,1,1,NA,0,1,1,1,0,1,1,1,1,1
AUD084,0,45,3,8,0,1,1,12,1,9,1,6,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1
AUD085,0,39,4,5,0.25,1,1,16,1,13,0,5,6,1,1,1,1,NA,NA,NA,NA,1,1,1,0,0,0
AUD086,1,64,4,11,0,0,1,13,1,14,0,4,4,1,1,1,0,1,1,0,0,1,1,1,0,1,1
AUD087,0,52,4,10,0,1,1,13,1,13,0,5,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1
AUD088,1,23,0,12,0.25,1,1,22,1,9,0,2,4,1,1,1,1,1,1,1,1,1,1,1,0,1,1
AUD089,0,50,NA,NA,NA,1,1,19,1,17,0,6,7,1,0,1,1,1,1,1,1,1,1,1,0,1,1
AUD090,1,46,3,10,0.3333333333333333,1,1,20,1,13,0,4,5,1,1,1,1,1,1,1,1,1,1,1,0,1,1
AUD092,1,23,2,16,0,0,1,14,1,14,1,5,5,1,1,1,1,0,1,1,1,1,1,1,1,1,1
AUD094,0,38,4,0,0,1,1,10,1,11,1,7,3,1,0,0,0,1,0,0,0,0,1,1,1,1,1
AUD095,1,20,0,9,0,0,1,10,1,15,1,6,5,1,NA,NA,1,1,1,1,1,0,1,1,0,1,1
AUD096,1,40,3,14,0,0,1,15,1,13,1,7,5,0,0,1,0,0,0,0,1,0,1,0,0,0,0
AUD097,0,53,2,12,0,0,1,18,1,12,1,2,6,1,0,1,1,0,0,0,0,1,1,1,1,0,1
AUD098,0,53,2,10,0,1,1,10,1,14,0,3,4,1,1,1,1,1,1,1,1,0,0,1,1,1,1
AUD099,0,39,3,16,0,0,1,10,1,13,0,5,4,1,1,1,1,1,1,1,1,1,1,1,0,1,1
