SITE	RESEARCHER	Assistant	ID	GODSPIRIT	GODSPIRIT.C	ORDERG
Anororo	Anders Norge	Fara	6	Ndrianampanjaka	Ndriana.	1
Anororo	Anders Norge	Fara	8	Ndrianampanjaka	Ndriana.	1
Anororo	Anders Norge	Fara	9	Ndrianampanjaka	Ndriana.	2
Anororo	Anders Norge	Fara	10	Ndrianampanjaka	Ndriana.	1
Anororo	Anders Norge	Fara	11	Ndrianampanjaka	Ndriana.	1
Ambohimahavelona	Anders Norge	Fara	13	Ndrianampanjaka	Ndriana.	2
Ambohimahavelona	Anders Norge	Fara	14	Ndrianampanjaka	Ndriana.	1
North Anororo	Anders Norge	Fara	17	Ndrianampanjaka	Ndriana.	1
Tsaraseranana Anororo	Anders Norge	Fara	18	Ndrianampanjaka	Ndriana.	1
Anororo	Anders Norge	Fara	19	Ndrianampanjaka	Ndriana.	1
Tanambao II Anororo	Anders Norge	Fara	21	Ndrianampanjaka	Ndriana.	2
Tanambao II Anororo	Anders Norge	Fara	29	Ndrianampanjaka	Ndriana.	3
Tanambao I Anororo	Anders Norge	Fara	32	Ndrianampanjaka	Ndriana.	1
TanambaoII Anororo	Anders Norge	Fara	35	Ndrianampanjaka	Ndriana.	1
TanambaoII Anororo	Anders Norge	Fara	37	Ndrianampanjaka	Ndriana.	2
Tanambao I Anororo	Anders Norge	Fara	38	Ndrianampanjaka	Ndriana.	1
Tanambao I Anororo	Anders Norge	Fara	39	Ndrianampanjaka	Ndriana.	1
TanambaoI Anororo	Anders Norge	Fara	40	Ndrianampanjaka	Ndriana.	3
Anororo	Anders Norge	Fara	9	Ndrianatao	Ndrianatao	3
Tanambao I Anororo	Anders Norge	Fara	32	Njatsy	Njatsy	2
Anororo	Anders Norge	Fara	9	Rafotsibemanantena	Rafotsibemanantena	5
Anororo	Anders Norge	Fara	8	Rainindraimbavy	Rainindraimbavy	3
Anororo	Anders Norge	Fara	2	Randriamihaingo	Randriamihaingo	4
Anororo center	Anders Norge	Fara	15	Razafy	Razafy	2
Anororo	Anders Norge	Fara	3	razana taloha (ancestors)	razana	2
Anororo	Anders Norge	Fara	4	razana (ancestors)	razana	2
Ambohimahavelona	Anders Norge	Fara	13	Fanahy razana	razana	1
Anororo	Anders Norge	Fara	26	Fanahin'ny razana (ancestor's spirit)	razana	2
Tanambao I Anororo	Anders Norge	Fara	39	Razana	razana	2
TanambaoI Anororo	Anders Norge	Fara	40	Razana	razana	4
Anororo	Anders Norge	Fara	2	Salovambolo	Salovambolo	2
Anororo	Anders Norge	Fara	6	Salovambolo	Salovambolo	2
